Package name,Severity,Affected version,Discloded date,Published date,FirstAffectedRelease_Date,FirstFixedRelease_Date,Disclosed VS First Affected,Published VS Disclosed
accesscontrol,H,"[3.0,3.0.3]",2/24/2016,2/24/2016,5/20/2012,9/9/2012,45,0
accesscontrol,M,"[3.0,3.0.5]",2/24/2016,2/24/2016,5/20/2012,10/31/2012,45,0
accesscontrol,M,"[3.0,3.0.5]",2/24/2016,2/24/2016,5/20/2012,10/31/2012,45,0
aiohttp,M,"[,0.16.3)",5/28/2015,5/28/2015,10/25/2013,5/30/2015,19,0
airflow,M,"[,1.8)",10/6/2016,10/6/2016,1/18/2015,3/20/2017,21,0
airflow,H,"[,1.8.0)",3/3/2017,3/3/2017,1/18/2015,3/20/2017,25,0
ajenti,M,"[,1.2.21.6]",7/6/2014,7/6/2014,6/29/2013,8/6/2014,12,0
ajenti,M,"[0.99.29,1.2.17]",2/18/2014,2/18/2014,7/28/2013,2/18/2014,7,0
ajenti,M,"[1.2.20.0,1.2.22.13)",9/10/2014,9/10/2014,3/31/2014,9/10/2014,5,0
ansible,L,"[,1.2.3)",2/23/2016,2/23/2016,4/2/2013,8/22/2013,35,0
ansible,H,"[,1.5.4)",1/4/2014,1/4/2014,4/2/2013,2/13/2014,9,0
ansible,H,"[,1.6.4)",3/3/2016,3/3/2016,4/2/2013,6/25/2014,35,0
ansible,M,"[,1.9.2)",7/15/2015,7/15/2015,4/2/2013,6/25/2015,27,0
ansible,L,"[,1.9.2)",8/17/2015,8/17/2015,4/2/2013,6/25/2015,28,0
ansible,H,"[,2.1.3)",1/11/2016,1/11/2016,4/2/2013,4/11/2016,33,0
ansible,L,"[1.2,1.2.3)",2/23/2016,2/23/2016,10/6/2013,4/11/2016,29,0
ansible,L,"[1.9,1.9.7)",11/4/2017,11/4/2017,3/25/2015,12/1/2016,31,0
ansible,H,"[1.9.5,1.9.6), [2,2.0.2.0)",8/4/2016,8/4/2016,3/21/2016,4/19/2016,4,0
ansible,M,"[2,2.1.3)",1/11/2016,1/11/2016,3/9/2015,4/11/2016,10,0
ansible-vault,H,"[,1.0.5)",9/14/2017,9/20/2017,5/16/2015,9/13/2017,28,0
apache-libcloud,M,"[0.12.3,0.13.3)",4/13/2017,4/13/2017,3/21/2013,12/31/2013,49,0
apache-libcloud,M,"[0.4.2,0.11.1)",4/13/2017,4/13/2017,1/19/2011,2/8/2012,75,0
askbot,M,"[0.6.0,0.7.49)",2/28/2014,2/28/2014,6/15/2010,9/19/2013,44,0
askbot,M,"[0.6.0,0.7.49)",2/28/2014,2/28/2014,6/15/2010,9/19/2013,44,0
askbot,M,"[0.6.0,0.7.52]",5/14/2015,5/14/2015,6/15/2010,4/22/2015,59,0
aspen,M,"[0.9.18,0.21]",3/15/2013,3/15/2013,9/4/2011,1/15/2013,18,0
attic,L,"[,0.15)",5/4/2015,5/4/2015,9/7/2013,4/15/2015,20,0
authbwc,L,"[,0.1.4)",7/1/2011,7/1/2011,11/16/2010,8/1/2011,7,0
autobahn,L,"[,0.6.4)",7/10/2013,7/10/2013,8/14/2011,10/21/2013,23,0
awscli,M,"[,1.11.83)",4/22/2017,4/12/2017,12/21/2012,5/5/2017,52,0
bbcode,M,"[,1.0.18)",3/14/2013,3/14/2013,2/27/2012,8/27/2014,12,0
bbcode,M,"[,1.0.9)",3/14/2013,3/14/2013,2/27/2012,3/14/2013,12,0
beaker,M,"[0.5,1.6.4)",9/15/2012,9/15/2012,3/13/2006,6/3/2018,78,0
bepasty,M,"[,0.3.0)",10/31/2016,10/31/2016,9/2/2014,8/22/2014,26,0
