web-scraper-order,web-scraper-start-url,vulnerability_type,name-href,affects_name,affects_version,type,published,page,page-href,versions,sign,CREDIT,disclosed,CVE,CWE,SNYK ID
1518451307-30418,http://f92dd709.ngrok.io,Arbitrary Code Execution,https://snyk.io/vuln/SNYK-PYTHON-ANSIBLE-40288,ansible,"[,1.5.4)",pip,"01 Apr, 2014",109,https://snyk.io/vuln/page/109,"[,1.5.4)",H,Unknown,"01 Apr, 2014",CVE-2014-4657,CWE-94,SNYK-PYTHON-ANSIBLE-40288
1518450783-30202,http://f92dd709.ngrok.io,Information Exposure,https://snyk.io/vuln/SNYK-PYTHON-PLONE-40209,plone,"[,4.2.5), [4.3,4.3.1)",pip,"01 Aug, 2013",116,https://snyk.io/vuln/page/116,"[,4.2.5), [4.3,4.3.1)",M,Unknown,"01 Aug, 2013",CVE-2013-4196,CWE-264,SNYK-PYTHON-PLONE-40209
1518450778-30200,http://f92dd709.ngrok.io,Access Restriction Bypass,https://snyk.io/vuln/SNYK-PYTHON-PLONE-40214,plone,"[,4.2.5), [4.3,4.3.1)",pip,"01 Aug, 2013",116,https://snyk.io/vuln/page/116,"[,4.2.5), [4.3,4.3.1)",M,Unknown,"01 Aug, 2013",CVE-2013-4198,CWE-264,SNYK-PYTHON-PLONE-40214
1518450789-30205,http://f92dd709.ngrok.io,Access Restriction Bypass,https://snyk.io/vuln/SNYK-PYTHON-PLONE-40201,plone,"[,4.2.5), [4.3,4.3.1)",pip,"01 Aug, 2013",116,https://snyk.io/vuln/page/116,"[,4.2.5), [4.3,4.3.1)",M,Unknown,"01 Aug, 2013",CVE-2013-4193,CWE-264,SNYK-PYTHON-PLONE-40201
1518450785-30203,http://f92dd709.ngrok.io,Open Redirect,https://snyk.io/vuln/SNYK-PYTHON-PLONE-40205,plone,"[,4.2.5), [4.3,4.3.1)",pip,"01 Aug, 2013",116,https://snyk.io/vuln/page/116,"[,4.2.5), [4.3,4.3.1)",M,Unknown,"01 Aug, 2013",CVE-2013-4195,CWE-20,SNYK-PYTHON-PLONE-40205
1518450791-30206,http://f92dd709.ngrok.io,Email Spoofing,https://snyk.io/vuln/SNYK-PYTHON-PLONE-40199,plone,"[,4.2.5), [4.3,4.3.1)",pip,"01 Aug, 2013",116,https://snyk.io/vuln/page/116,"[,4.2.5), [4.3,4.3.1)",M,Unknown,"01 Aug, 2013",CVE-2013-4192,CWE-20,SNYK-PYTHON-PLONE-40199
1518450797-30209,http://f92dd709.ngrok.io,Access Restriction Bypass,https://snyk.io/vuln/SNYK-PYTHON-PLONE-40192,plone,"[,4.2.5), [4.3,4.3.1)",pip,"01 Aug, 2013",116,https://snyk.io/vuln/page/116,"[,4.2.5), [4.3,4.3.1)",M,Unknown,"01 Aug, 2013",CVE-2013-4189,null,SNYK-PYTHON-PLONE-40192
1518450776-30199,http://f92dd709.ngrok.io,Arbitrary Web Redirect,https://snyk.io/vuln/SNYK-PYTHON-PLONE-40219,plone,"[4.3.0,4.3.1]",pip,"01 Aug, 2013",116,https://snyk.io/vuln/page/116,"[4.3.0,4.3.1]",M,Unknown,"01 Aug, 2013",CVE-2013-4200,CWE-264,SNYK-PYTHON-PLONE-40219
1518450793-30207,http://f92dd709.ngrok.io,Information Exposure,https://snyk.io/vuln/SNYK-PYTHON-PLONE-40197,plone,"[,4.2.5), [4.3,4.3.1)",pip,"01 Aug, 2013",116,https://snyk.io/vuln/page/116,"[,4.2.5), [4.3,4.3.1)",M,Unknown,"01 Aug, 2013",CVE-2013-4191,CWE-264,SNYK-PYTHON-PLONE-40197
1518450799-30210,http://f92dd709.ngrok.io,Denial of Service (DoS),https://snyk.io/vuln/SNYK-PYTHON-PLONE-40189,plone,"[,4.2.5), [4.3,4.3.1)",pip,"01 Aug, 2013",116,https://snyk.io/vuln/page/116,"[,4.2.5), [4.3,4.3.1)",M,Unknown,"01 Aug, 2013",CVE-2013-4188,CWE-399,SNYK-PYTHON-PLONE-40189
1518450795-30208,http://f92dd709.ngrok.io,Cross-site Scripting (XSS),https://snyk.io/vuln/SNYK-PYTHON-PLONE-40195,plone,"[,4.2.5), [4.3,4.3.1)",pip,"01 Aug, 2013",116,https://snyk.io/vuln/page/116,"[,4.2.5), [4.3,4.3.1)",M,Unknown,"01 Aug, 2013",CVE-2013-4190,CWE-79,SNYK-PYTHON-PLONE-40195
1518450774-30198,http://f92dd709.ngrok.io,Denial of Service (DoS),https://snyk.io/vuln/SNYK-PYTHON-PLONE-40216,plone,"[,4.2.5), [4.3,4.3.1)",pip,"01 Aug, 2013",116,https://snyk.io/vuln/page/116,"[,4.2.5), [4.3,4.3.1)",L,Unknown,"01 Aug, 2013",CVE-2013-4199,CWE-20,SNYK-PYTHON-PLONE-40216
1518450787-30204,http://f92dd709.ngrok.io,Information Exposure,https://snyk.io/vuln/SNYK-PYTHON-PLONE-40203,plone,"[,4.2.5), [4.3,4.3.1)",pip,"01 Aug, 2013",116,https://snyk.io/vuln/page/116,"[,4.2.5), [4.3,4.3.1)",M,Unknown,"01 Aug, 2013",CVE-2013-4194,CWE-200,SNYK-PYTHON-PLONE-40203
1518450780-30201,http://f92dd709.ngrok.io,Arbitrary Portrait Modification,https://snyk.io/vuln/SNYK-PYTHON-PLONE-40211,plone,"[,4.2.5), [4.3,4.3.1)",pip,"01 Aug, 2013",116,https://snyk.io/vuln/page/116,"[,4.2.5), [4.3,4.3.1)",M,Unknown,"01 Aug, 2013",CVE-2013-4197,CWE-20,SNYK-PYTHON-PLONE-40211
1518566212-32917,http://f92dd709.ngrok.io,Information Exposure,https://snyk.io/vuln/SNYK-PYTHON-SALT-40358,salt,"[,2015.8.3)",pip,"01 Aug, 2017",25,https://snyk.io/vuln/page/25,"[,2015.8.3)",L,Unknown,"03 Aug, 2015",CVE-2015-8034,CWE-200,SNYK-PYTHON-SALT-40358
1518565311-32903,http://f92dd709.ngrok.io,Man-in-the-Middle (MitM),https://snyk.io/vuln/SNYK-PYTHON-PIP-40230,pip,"[,1.5)",pip,"01 Aug, 2017",26,https://snyk.io/vuln/page/26,"[,1.5)",M,Unknown,"29 Jul, 2013",CVE-2013-5123,null,SNYK-PYTHON-PIP-40230
1518565731-32910,http://f92dd709.ngrok.io,‎Man-in-the-Middle (MitM),https://snyk.io/vuln/SNYK-PYTHON-PYTHONBUGZILLA-40184,python-bugzilla,"[,0.9.0)",pip,"01 Aug, 2017",26,https://snyk.io/vuln/page/26,"[,0.9.0)",M,Florian Weimer,"19 Jun, 2013",CVE-2013-2191,CWE-20,SNYK-PYTHON-PYTHONBUGZILLA-40184
1518566333-32919,http://f92dd709.ngrok.io,Information Exposure,https://snyk.io/vuln/SNYK-PYTHON-SALT-40447,salt,"[,2015.8.11)",pip,"01 Aug, 2017",25,https://snyk.io/vuln/page/25,"[,2015.8.11)",H,Unknown,"28 Nov, 2016",CVE-2016-9639,CWE-200,SNYK-PYTHON-SALT-40447
1518565972-32914,http://f92dd709.ngrok.io,Arbitrary Code Execution,https://snyk.io/vuln/SNYK-PYTHON-PYTHONGNUPG-40272,python-gnupg,"[0.3.5,0.3.6]",pip,"01 Aug, 2017",26,https://snyk.io/vuln/page/26,"[0.3.5,0.3.6]",M,Unknown,"22 Feb, 2016",CVE-2014-1929,CWE-20,SNYK-PYTHON-PYTHONGNUPG-40272
1518566272-32918,http://f92dd709.ngrok.io,Arbitrary Code Execution,https://snyk.io/vuln/SNYK-PYTHON-SALT-40379,salt,"[2015.8,2015.8.4)",pip,"01 Aug, 2017",25,https://snyk.io/vuln/page/25,"[2015.8,2015.8.4)",H,Unknown,"04 Aug, 2015",CVE-2016-1866,CWE-94,SNYK-PYTHON-SALT-40379
1518565491-32906,http://f92dd709.ngrok.io,Insecure Randomness,https://snyk.io/vuln/SNYK-PYTHON-PYCRYPTO-40095,pycrypto,"[,2.6)",pip,"01 Aug, 2017",26,https://snyk.io/vuln/page/26,"[,2.6)",M,Unknown,"19 Apr, 2012",CVE-2012-2417,CWE-310,SNYK-PYTHON-PYCRYPTO-40095
1518565551-32907,http://f92dd709.ngrok.io,Arbitrary Code Execution,https://snyk.io/vuln/SNYK-PYTHON-PYCRYPTO-40249,pycrypto,"[,2.7a1]",pip,"01 Aug, 2017",26,https://snyk.io/vuln/page/26,"[,2.7a1]",H,Unknown,"15 Dec, 2015",CVE-2013-7459,CWE-94,SNYK-PYTHON-PYCRYPTO-40249
1518566092-32915,http://f92dd709.ngrok.io,Arbitrary Code Execution,https://snyk.io/vuln/SNYK-PYTHON-PYTHONMURANOCLIENT-40398,python-muranoclient,"[,0.7.3), [0.8,0.8.5)",pip,"01 Aug, 2017",25,https://snyk.io/vuln/page/25,"[,0.7.3), [0.8,0.8.5)",H,Unknown,"10 Aug, 2016",CVE-2016-4972,CWE-20,SNYK-PYTHON-PYTHONMURANOCLIENT-40398
1518565791-32911,http://f92dd709.ngrok.io,Arbitrary Code Execution,https://snyk.io/vuln/SNYK-PYTHON-PYTHONGNUPG-40248,python-gnupg,"[,0.3.5)",pip,"01 Aug, 2017",26,https://snyk.io/vuln/page/26,"[,0.3.5)",H,Unknown,"04 Feb, 2014",CVE-2013-7323,CWE-94,SNYK-PYTHON-PYTHONGNUPG-40248
1518565131-32900,http://f92dd709.ngrok.io,Man-in-the-Middle (MitM),https://snyk.io/vuln/SNYK-PYTHON-OVIRTENGINESDK-40252,ovirt-engine-sdk,"[,3.3.0.3)",pip,"01 Aug, 2017",26,https://snyk.io/vuln/page/26,"[,3.3.0.3)",M,Juan Hernandez,"05 Mar, 2016",CVE-2014-0161,CWE-300,SNYK-PYTHON-OVIRTENGINESDK-40252
